run_id,run_path,mode,final_version,stop_reason,all_learners_stopped,num_learners,produced_updates,applied_updates,update_utilization_ratio,update_utilization_percent,dropped_updates,pending_or_unclassified_updates,drop_reasons_json,dropped_superseded,dropped_stale,dropped_stop_finalized,dropped_missing_file,dropped_future_base,dropped_unknown,local_steps_total,local_steps_min,local_steps_max,local_steps_mean,local_steps_by_learner_json,complete_training_time_seconds,source_fingerprint,training_seed,sync_scan_interval_seconds,ingest_during_publish,merge_count,selected_per_merge_min,selected_per_merge_max,selected_per_merge_mean,selected_count_distribution_json,global_interval_seconds_mean,global_interval_seconds_p50,global_interval_seconds_p95,quorum_detection_seconds_mean,quorum_detection_seconds_p95,quorum_max_trigger_count,quorum_max_trigger_ratio,quorum_trigger_distribution_json,publish_ingest_passes_total,publish_ingested_updates_total,interval_residual_ratio_mean,syncer_merge_compute_seconds_p95,syncer_duty_cycle_percent,estimated_idle_gpu_node_hours,applied_staleness_0,applied_staleness_1,applied_staleness_2,applied_staleness_gt_2,applied_staleness_mean,applied_staleness_distribution_json,produced_tokens,applied_tokens,loss_count,loss_first_10_mean,loss_last_10_mean,loss_mean,loss_last_vs_first_ratio,model_name_or_path,update_tensor_dtype,syncer_device,syncer_compute_dtype,syncer_publish_dtype,max_staleness_versions,inner_steps,max_local_steps,completion_mode,global_adoption_strategy,grace_window_mode,grace_window_seconds,db_integrity_ok
20260716_175316_fs_diloco_gpt2_wikitext2_8l_5000steps,/work/xg24i002/x10041/fsb_decoupled_diloco/runs/fs_diloco/5000/20260716_175316_fs_diloco_gpt2_wikitext2_8l_5000steps,full,49,no_progress_timeout,True,8,400,362,0.905,90.5,38,0,"{""unknown"":38}",0,0,0,0,0,38,40000,5000,5000,5000.0,"{""learner_000"":5000,""learner_001"":5000,""learner_002"":5000,""learner_003"":5000,""learner_004"":5000,""learner_005"":5000,""learner_006"":5000,""learner_007"":5000}",4872.679705095012,,,,False,49,1,8,7.387755102040816,"{""1"":2,""2"":1,""4"":2,""6"":1,""8"":43}",25.439168823008636,24.05457329750061,37.56487860679626,0.0,0.0,0,0.0,"{""unknown"":49}",0,0,,0.7463552058208733,1.5238336672134383,1.3328967142370272,30,329,3,0,0.925414364640884,"{""0"":30,""1"":329,""2"":3}",655360000,593100800,400,3.800881206303835,3.1838493855893613,3.261177838388085,0.8376608509386944,,,auto,float32,float32,,,,local_or_global,replace,,,True
20260717_083115_fs_diloco_gpt2_wikitext2_8l_5000steps_predict_bf16all_cuda,/work/xg24i002/x10041/fsb_decoupled_diloco/runs/fs_diloco/5000/20260717_083115_fs_diloco_gpt2_wikitext2_8l_5000steps_predict_bf16all_cuda,full,50,stop_after_outer_steps,True,8,405,397,0.980246913580247,98.0246913580247,8,0,"{""stop_after_outer_steps"":8}",0,0,8,0,0,0,40214,4911,5100,5026.75,"{""learner_000"":5025,""learner_001"":5072,""learner_002"":4991,""learner_003"":4983,""learner_004"":5100,""learner_005"":5032,""learner_006"":4911,""learner_007"":5100}",1211.3007858560886,,1337,2.0,False,50,7,8,7.94,"{""7"":3,""8"":47}",23.726663661003112,24.521145701408386,24.883585333824158,0.0,0.0,0,0.0,"{""unknown"":50}",0,0,,0.4684791650099214,3.9750330574778134,0.3230975497757835,305,92,0,0,0.23173803526448364,"{""0"":305,""1"":92}",658866176,650444800,405,3.840828961879015,3.1429260288974907,3.208630776721512,0.8182936704788606,gpt2,bfloat16,cuda,bfloat16,bfloat16,2,100,5000,global_only,predict_post_publish_global,fixed,20.0,True
20260717_103902_fs_diloco_gpt2_wikitext2_8l_5000steps_predict_bf16all_cuda_pr_gpu,/work/xg24i002/x10041/fsb_decoupled_diloco/runs/fs_diloco/5000/20260717_103902_fs_diloco_gpt2_wikitext2_8l_5000steps_predict_bf16all_cuda_pr_gpu,full,50,stop_after_outer_steps,True,8,403,395,0.9801488833746899,98.01488833746899,8,0,"{""stop_after_outer_steps"":8}",0,0,8,0,0,0,40090,4867,5100,5011.25,"{""learner_000"":4906,""learner_001"":5099,""learner_002"":4999,""learner_003"":5100,""learner_004"":5093,""learner_005"":4867,""learner_006"":4926,""learner_007"":5100}",1184.1648441479774,,1337,2.0,False,50,7,8,7.9,"{""7"":5,""8"":45}",23.237190279960632,23.342769384384155,25.002570426464082,0.0,0.0,0,0.0,"{""unknown"":50}",0,0,,0.4526058925373945,3.979961317913441,0.3158432059473772,305,88,2,0,0.23291139240506328,"{""0"":305,""1"":88,""2"":2}",656834560,647168000,403,3.840243390917778,3.1518739091715706,3.208511294204804,0.8207484756371928,gpt2,bfloat16,cuda,bfloat16,bfloat16,2,100,5000,global_only,predict_post_publish_global,fixed,20.0,True
codex_adaptive_eta_global50_full5000_20260717_055909,/work/xg24i002/x10041/fsb_decoupled_diloco/runs/fs_diloco/5000/codex_adaptive_eta_global50_full5000_20260717_055909,full,50,stop_after_outer_steps,True,8,379,371,0.978891820580475,97.8891820580475,8,0,"{""stop_after_outer_steps"":8}",0,0,8,0,0,0,37533,4193,5044,4691.625,"{""learner_000"":4461,""learner_001"":5044,""learner_002"":4854,""learner_003"":4771,""learner_004"":4925,""learner_005"":4428,""learner_006"":4857,""learner_007"":4193}",1085.1072367511224,,1337,2.0,False,50,6,8,7.42,"{""6"":6,""7"":17,""8"":27}",21.244422764778136,22.103588938713074,24.76693128347397,0.0,0.0,0,0.0,"{""unknown"":50}",0,0,,0.4752545066410675,5.331115721792703,0.2853496984039925,133,207,31,0,0.7250673854447439,"{""0"":133,""1"":207,""2"":31}",614940672,607846400,379,3.8089128992855548,3.1702961075913314,3.227118182269626,0.8323362049539096,gpt2,bfloat16,auto,float32,float32,2,100,5000,global_only,rebase_post_publish_delta,adaptive_fastest_upload_eta,10.0,True
codex_plan01_full5000_20260716_221526,/work/xg24i002/x10041/fsb_decoupled_diloco/runs/fs_diloco/5000/codex_plan01_full5000_20260716_221526,full,25,input_exhausted,True,8,400,190,0.475,47.5,210,0,"{""superseded"":205,""too_stale"":5}",205,5,0,0,0,0,40000,5000,5000,5000.0,"{""learner_000"":5000,""learner_001"":5000,""learner_002"":5000,""learner_003"":5000,""learner_004"":5000,""learner_005"":5000,""learner_006"":5000,""learner_007"":5000}",1257.3380607089493,,1337,2.0,False,25,2,8,7.6,"{""2"":1,""5"":1,""7"":1,""8"":22}",49.48671799659729,48.4185996055603,60.07092394828796,0.0,0.0,0,0.0,"{""unknown"":25}",0,0,,0.6902732037473469,2.7615447647432125,0.3396155853661993,190,0,0,0,0.0,"{""0"":190}",655360000,311296000,400,3.8096429198086263,3.1179632616639137,3.222303498120606,0.8184397664809334,gpt2,float32,auto,float32,float32,0,100,5000,local_or_global,replace,fixed,20.0,True
codex_plan01_full5000_bf16_s2_20260716_233341,/work/xg24i002/x10041/fsb_decoupled_diloco/runs/fs_diloco/5000/codex_plan01_full5000_bf16_s2_20260716_233341,full,48,input_exhausted,True,8,400,372,0.93,93.0,28,0,"{""superseded"":28}",28,0,0,0,0,0,40000,5000,5000,5000.0,"{""learner_000"":5000,""learner_001"":5000,""learner_002"":5000,""learner_003"":5000,""learner_004"":5000,""learner_005"":5000,""learner_006"":5000,""learner_007"":5000}",1250.193701472017,,1337,2.0,False,48,3,8,7.75,"{""3"":1,""4"":1,""5"":1,""8"":45}",25.582074890534084,23.73800039291382,36.248634958267196,0.0,0.0,0,0.0,"{""unknown"":48}",0,0,,0.4654638840293045,4.401186505500572,0.3319917624972812,27,345,0,0,0.9274193548387096,"{""0"":27,""1"":345}",655360000,609484800,400,3.802233982115984,3.189173844009638,3.2640987058378754,0.8387631742312788,gpt2,bfloat16,auto,float32,float32,2,100,5000,local_or_global,replace,fixed,20.0,True
codex_predict_full5000_20260717_023302,/work/xg24i002/x10041/fsb_decoupled_diloco/runs/fs_diloco/5000/codex_predict_full5000_20260717_023302,full,50,stop_after_outer_steps,True,8,399,396,0.9924812030075187,99.24812030075188,3,0,"{""stop_after_outer_steps"":3}",0,0,3,0,0,0,39692,4822,5000,4961.5,"{""learner_000"":4822,""learner_001"":5000,""learner_002"":5000,""learner_003"":5000,""learner_004"":4964,""learner_005"":5000,""learner_006"":5000,""learner_007"":4906}",1209.7212439011782,,1337,2.0,False,50,7,8,7.92,"{""7"":4,""8"":46}",23.67395818710327,23.851490259170532,25.127098989486694,0.0,0.0,0,0.0,"{""unknown"":50}",0,0,,0.41530277857091275,5.309040268595411,0.3181935155346421,318,76,2,0,0.20202020202020202,"{""0"":318,""1"":76,""2"":2}",650313728,648806400,399,3.8387315571308136,3.183349044335103,3.24274457278064,0.8292710748220269,gpt2,bfloat16,auto,float32,float32,2,100,5000,local_or_global,predict_post_publish_global,fixed,20.0,True
codex_predict_gc_retry_wait0_fixed20_global50_full5000_20260717_073011,/work/xg24i002/x10041/fsb_decoupled_diloco/runs/fs_diloco/5000/codex_predict_gc_retry_wait0_fixed20_global50_full5000_20260717_073011,full,50,stop_after_outer_steps,True,8,406,398,0.9802955665024631,98.0295566502463,8,0,"{""stop_after_outer_steps"":8}",0,0,8,0,0,0,40338,4906,5100,5042.25,"{""learner_000"":4906,""learner_001"":5100,""learner_002"":5100,""learner_003"":5023,""learner_004"":5048,""learner_005"":5100,""learner_006"":4961,""learner_007"":5100}",1180.4562729340978,,1337,2.0,False,50,7,8,7.96,"{""7"":2,""8"":48}",23.147050676345824,22.94499695301056,25.05881450176239,0.0,0.0,0,0.0,"{""unknown"":50}",0,0,,0.4911580385523848,5.361557609235838,0.31032373050247164,333,65,0,0,0.16331658291457288,"{""0"":333,""1"":65}",660897792,652083200,406,3.834586503863335,3.1239842058301313,3.196907873369204,0.8146860691974809,gpt2,bfloat16,auto,float32,float32,2,100,5000,global_only,predict_post_publish_global,fixed,20.0,True
codex_rebase_full5000_20260717_013647,/work/xg24i002/x10041/fsb_decoupled_diloco/runs/fs_diloco/5000/codex_rebase_full5000_20260717_013647,full,47,input_exhausted,True,8,400,365,0.9125,91.25,35,0,"{""superseded"":35}",35,0,0,0,0,0,40000,5000,5000,5000.0,"{""learner_000"":5000,""learner_001"":5000,""learner_002"":5000,""learner_003"":5000,""learner_004"":5000,""learner_005"":5000,""learner_006"":5000,""learner_007"":5000}",1275.0662397521082,,1337,2.0,False,47,3,8,7.76595744680851,"{""3"":1,""4"":1,""6"":1,""8"":44}",26.662206172943115,23.92903757095337,36.775339674949606,0.0,0.0,0,0.0,"{""unknown"":47}",0,0,,0.4289046767167747,4.475824944288576,0.33833236303807807,359,6,0,0,0.01643835616438356,"{""0"":359,""1"":6}",655360000,598016000,400,3.8095748730003836,3.096286029547453,3.171522220120207,0.81276418833287,gpt2,bfloat16,auto,float32,float32,2,100,5000,local_or_global,rebase_post_publish_delta,fixed,20.0,True
codex_rebase_preserve_full5000_20260717_082018,/work/xg24i002/x10041/fsb_decoupled_diloco/runs/fs_diloco/5000/codex_rebase_preserve_full5000_20260717_082018,full,49,input_exhausted,True,8,400,379,0.9475,94.75,21,0,"{""superseded"":21}",21,0,0,0,0,0,40000,5000,5000,5000.0,"{""learner_000"":5000,""learner_001"":5000,""learner_002"":5000,""learner_003"":5000,""learner_004"":5000,""learner_005"":5000,""learner_006"":5000,""learner_007"":5000}",1250.1641409988515,,1337,2.0,False,49,2,8,7.73469387755102,"{""2"":1,""4"":1,""5"":1,""8"":46}",25.042804698554836,24.752978324890137,32.910000658035266,0.0,0.0,0,0.0,"{""unknown"":49}",0,0,,0.42073216973803923,4.341447775081493,0.3321913660318306,376,3,0,0,0.0079155672823219,"{""0"":376,""1"":3}",655360000,620953600,400,3.796414127618074,3.0550053986012937,3.1238722749620678,0.80470815245808,gpt2,bfloat16,auto,float32,float32,2,100,5000,local_or_global,rebase_post_publish_delta,fixed,20.0,True
